,num_iters,algorithms,wall-clock time,fval,repID
0,51,vandessel,55.94957375526428,0.613550355048659,0
1,27,am,17.22221612930298,0.6007278204812323,0
2,58,vandessel,59.795992851257324,0.6465756939888934,1
3,34,am,17.280312061309814,0.668850047814999,1
4,56,vandessel,50.14048910140991,0.5874783621769808,2
5,23,am,10.313351154327393,0.7192382082398581,2
6,26,vandessel,23.963029861450195,0.7047738669294006,3
7,20,am,10.109007120132446,0.7088225239486832,3
8,78,vandessel,66.00565099716187,0.6461500932533264,4
9,57,am,27.092062950134277,0.6522671759829883,4
10,87,vandessel,83.60937809944153,0.6564702866000793,5
11,57,am,32.460116147994995,0.7152127627688358,5
12,53,vandessel,65.1902277469635,0.6563113190618424,6
13,18,am,16.653050899505615,0.7529510139468201,6
14,57,vandessel,89.52958583831787,0.606535183829628,7
15,27,am,24.093459844589233,0.7029926315213331,7
16,71,vandessel,98.74557900428772,0.5908614180753791,8
17,42,am,26.463242053985596,0.7032278909280976,8
18,37,vandessel,45.56925392150879,0.6373412482773091,9
19,22,am,15.750051975250244,0.6601859705374977,9
20,26,vandessel,34.995644330978394,0.6355832825915968,10
21,29,am,18.902806043624878,0.6401808454529601,10
22,55,vandessel,81.07921504974365,0.7972221443472023,11
23,33,am,33.707215785980225,0.9878615511286455,11
24,88,vandessel,117.1923611164093,0.6822350308845557,12
25,48,am,39.26827001571655,0.6147985292961238,12
26,69,vandessel,94.98082733154297,0.5863256427165595,13
27,35,am,37.52484178543091,0.6243629105394888,13
28,69,vandessel,89.52146315574646,0.7263989722070292,14
29,30,am,23.18390703201294,0.7307792170087879,14
30,62,vandessel,87.82773995399475,0.5953024700635297,15
31,39,am,34.86565017700195,0.6707600072807693,15
32,108,vandessel,149.42209100723267,0.6600572645364196,16
33,37,am,30.24345827102661,0.8281533475480671,16
34,110,vandessel,160.224280834198,0.7222891781786167,17
35,64,am,58.359869956970215,0.6700321053441769,17
36,53,vandessel,82.14559626579285,0.5525481867175301,18
37,40,am,38.962719202041626,0.6000800988428381,18
38,75,vandessel,158.12622117996216,0.6612441034703238,19
39,29,am,30.15941619873047,1.5735030820676457,19
40,48,vandessel,83.06787204742432,0.6226570627763124,20
41,25,am,26.726009845733643,0.6169769197942827,20
42,66,vandessel,100.02170324325562,0.5482530851278682,21
43,30,am,25.4884831905365,0.5513682452041024,21
44,38,vandessel,62.975924015045166,0.9754766844550318,22
45,20,am,16.681998252868652,1.250234033538021,22
46,40,vandessel,59.56708097457886,0.5888027980039823,23
47,29,am,24.932239055633545,0.6151755067462972,23
48,22,vandessel,42.43651723861694,0.75188858001688,24
49,45,am,44.85942006111145,0.705778021695938,24
50,31,vandessel,46.1879460811615,0.6361896310709696,25
51,34,am,27.41733717918396,0.6227108629431726,25
52,92,vandessel,126.46762108802795,0.7289473439873291,26
53,44,am,32.027576208114624,0.7015424545555646,26
54,38,vandessel,49.170567989349365,0.7919077166564037,27
55,27,am,19.64098596572876,0.7984671419871887,27
56,62,vandessel,90.43675398826599,0.723338363287823,28
57,28,am,24.07752299308777,0.7488956563381564,28
58,66,vandessel,75.223464012146,0.7168580753607898,29
59,59,am,40.77910923957825,0.6900729439944158,29
60,27,vandessel,38.19070911407471,0.6588800666724666,30
61,26,am,18.30794906616211,0.6719054930483708,30
62,27,vandessel,37.83678197860718,0.7195789040911222,31
63,27,am,18.151097059249878,0.7245908492861872,31
64,41,vandessel,53.50471901893616,0.6166680137777192,32
65,55,am,40.12620210647583,0.6201448203972184,32
66,66,vandessel,80.38901400566101,0.6075320270416782,33
67,53,am,60.324398040771484,0.6438437965651218,33
68,89,vandessel,106.96609306335449,0.669057739583991,34
69,101,am,80.17440390586853,0.6192691810377795,34
70,45,vandessel,63.493268966674805,0.7995839825616251,35
71,90,am,59.883869886398315,0.6954679921327411,35
72,76,vandessel,84.15221095085144,0.6441048685449218,36
73,32,am,21.37956190109253,0.7075014485048854,36
74,51,vandessel,78.63428902626038,0.5341963463542498,37
75,32,am,28.01838517189026,0.56297954446989,37
76,107,vandessel,134.4025421142578,0.6918456073778643,38
77,28,am,19.822952032089233,0.9049342382541923,38
78,72,vandessel,88.876060962677,0.5655323692296861,39
79,42,am,29.663663148880005,0.5974273186711514,39
80,45,vandessel,83.22273778915405,0.7074774927763485,40
81,39,am,45.122432231903076,0.713754879672905,40
82,113,vandessel,155.05472898483276,0.6177068265434968,41
83,69,am,51.59738326072693,0.6188940419337428,41
84,40,vandessel,48.5284538269043,0.5492849692967852,42
85,40,am,25.152656078338623,0.6205724785941484,42
86,57,vandessel,70.29109787940979,0.6615275311192619,43
87,50,am,33.39256286621094,0.6669568945421531,43
88,81,vandessel,88.88080406188965,0.553908085126416,44
89,36,am,23.457862854003906,0.6008206935553062,44
90,80,vandessel,110.81014513969421,0.650741786030693,45
91,35,am,24.224479913711548,0.9603702433140029,45
92,34,vandessel,40.88967990875244,0.6966219934460653,46
93,75,am,47.284756898880005,0.6705191176878884,46
94,81,vandessel,95.414067029953,0.6098076578461757,47
95,40,am,28.936709880828857,0.6575580838337487,47
96,34,vandessel,42.22794795036316,0.6733548623562378,48
97,27,am,17.56696391105652,0.7024691996787347,48
98,57,vandessel,63.6362087726593,0.6033697774360789,49
99,75,am,48.66233777999878,0.5947783815103378,49
